,Master,Anchor Master,Non-Master Sync,Non-Master Non-Sync
20,1.25,579.0,0.25,219.5
18,0.0,335.0,0.0,465.0
27,0.25,0.0,0.25,799.5
9,0.25,0.0,0.25,799.5
11,0.25,699.0,0.25,100.5
7,0.0,715.0,0.0,85.0
29,0.25,233.0,0.25,566.5
16,0.25,329.0,0.25,470.5
6,0.25,156.0,0.25,643.5
28,0.0,650.0,0.0,150.0
17,0.25,317.0,0.25,482.5
1,0.25,54.0,0.25,745.5
10,38.0,257.0,0.25,504.75
19,0.25,753.0,0.25,46.5
26,2.25,542.0,0.25,255.5
8,0.25,0.0,0.25,799.5
21,0.25,700.0,0.25,99.5
30,22.0,49.0,0.25,728.75
24,0.25,0.0,0.25,799.5
23,0.0,751.0,0.0,49.0
4,62.0,9.0,0.25,728.75
15,1.25,206.0,0.25,592.5
3,14.0,419.0,0.25,366.75
12,0.25,0.0,0.25,799.5
2,0.0,559.0,0.0,241.0
13,0.25,0.0,0.25,799.5
5,0.25,567.0,0.25,232.5
14,0.0,786.0,0.0,14.0
22,800.0,0.0,0.0,0.0
25,0.25,754.0,0.25,45.5
