,Master,Anchor Master,Non-Master Sync,Non-Master Non-Sync
20,0.5,579.0,0.25,220.25
18,0.0,564.0,0.0,236.0
27,0.25,0.0,0.25,799.5
9,0.25,0.0,0.25,799.5
11,0.25,751.0,0.25,48.5
7,0.0,696.0,0.0,104.0
29,0.25,189.0,0.25,610.5
16,0.25,0.0,0.25,799.5
6,0.25,22.0,0.25,777.5
28,0.5,0.0,0.25,799.25
17,0.25,122.0,0.25,677.5
1,0.25,175.0,0.25,624.5
10,0.0,798.0,0.0,2.0
19,0.0,800.0,0.0,0.0
26,58.75,186.0,0.25,555.0
8,0.25,70.0,0.25,729.5
21,0.0,764.0,0.0,36.0
30,0.5,0.0,0.25,799.25
24,0.25,0.0,0.25,799.5
23,0.0,744.0,0.0,56.0
4,14.0,0.0,0.25,785.75
15,130.0,68.0,0.25,601.75
3,0.5,420.0,0.25,379.25
12,0.25,225.0,0.25,574.5
2,0.25,389.0,0.25,410.5
13,0.25,81.0,0.25,718.5
5,0.25,37.0,0.25,762.5
14,22.0,721.0,0.25,56.75
22,32.0,768.0,0.0,0.0
25,0.25,760.0,0.25,39.5
