,Master,Anchor Master,Non-Master Sync,Non-Master Non-Sync
20,1.25,0.0,0.25,798.5
18,1.25,0.0,0.25,798.5
27,0.25,0.0,0.25,799.5
9,0.25,0.0,0.25,799.5
11,0.25,0.0,0.25,799.5
7,2.25,0.0,0.25,797.5
29,0.25,0.0,0.25,799.5
16,0.25,0.0,0.25,799.5
6,0.25,0.0,0.25,799.5
28,1.25,0.0,0.25,798.5
17,0.25,16.0,0.25,783.5
1,0.25,0.0,0.25,799.5
10,800.0,0.0,0.0,0.0
19,0.25,0.0,0.25,799.5
26,2.25,0.0,0.25,797.5
8,0.25,0.0,0.25,799.5
21,0.25,320.0,0.25,479.5
30,2.25,0.0,0.25,797.5
24,0.25,0.0,0.25,799.5
23,0.25,0.0,0.25,799.5
4,3.25,0.0,0.25,796.5
15,1.25,0.0,0.25,798.5
3,2.25,0.0,0.25,797.5
12,0.25,0.0,0.25,799.5
2,0.0,800.0,0.0,0.0
13,0.25,0.0,0.25,799.5
5,0.25,0.0,0.25,799.5
14,1.25,0.0,0.25,798.5
22,1.25,0.0,0.25,798.5
25,0.25,0.0,0.25,799.5
