,Master,Anchor Master,Non-Master Sync,Non-Master Non-Sync
20,0.75,579.0,0.25,220.0
18,0.0,571.0,0.0,229.0
27,0.25,311.0,0.25,488.5
9,0.25,0.0,0.25,799.5
11,0.25,141.0,0.25,658.5
7,40.0,6.0,0.0,754.0
29,0.25,80.0,0.25,719.5
16,0.25,550.0,0.25,249.5
6,0.0,653.0,0.0,147.0
28,38.0,487.0,0.25,274.75
17,0.25,491.0,0.25,308.5
1,0.0,450.0,0.0,350.0
10,0.5,173.0,0.25,626.25
19,0.25,517.0,0.25,282.5
26,62.0,682.0,0.0,56.0
8,0.25,188.0,0.25,611.5
21,0.25,0.0,0.25,799.5
30,0.0,800.0,0.0,0.0
24,0.25,201.0,0.25,598.5
23,0.25,580.0,0.25,219.5
4,0.5,31.0,0.25,768.25
15,22.0,409.0,0.25,368.75
3,0.5,570.0,0.25,229.25
12,0.0,593.0,0.0,207.0
2,0.25,37.0,0.25,762.5
13,0.0,545.0,0.0,255.0
5,0.25,537.0,0.25,262.5
14,14.0,691.0,0.25,94.75
22,0.5,360.0,0.25,439.25
25,0.25,337.0,0.25,462.5
